sample,system,nobs,sample_start,sample_end,variables,det_order,deterministic,k_ar_diff,r_null,trace_stat,trace_crit_95,trace_reject_95,maxeig_stat,maxeig_crit_95,maxeig_reject_95,selected_trace_rank_5pct,selected_maxeig_rank_5pct,error
baseline,liquidity_pair_ln_hh_loans_ea_stock,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock",-1,none,1,0,10.04118729184069,12.3212,False,10.020943052330164,11.2246,False,0,0,
baseline,liquidity_pair_ln_hh_loans_ea_stock,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock",-1,none,1,1,0.020244239510524863,4.1296,False,0.020244239510524863,4.1296,False,0,0,
baseline,liquidity_pair_ln_hh_loans_ea_stock,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock",-1,none,2,0,3.8045685081651177,12.3212,False,3.3666471868773877,11.2246,False,0,0,
baseline,liquidity_pair_ln_hh_loans_ea_stock,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock",-1,none,2,1,0.4379213212877303,4.1296,False,0.4379213212877303,4.1296,False,0,0,
baseline,liquidity_pair_ln_hh_loans_ea_stock,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock",0,constant,1,0,13.832051049379341,15.4943,False,13.831917600745205,14.2639,False,0,0,
baseline,liquidity_pair_ln_hh_loans_ea_stock,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock",0,constant,1,1,0.0001334486341369039,3.8415,False,0.0001334486341369039,3.8415,False,0,0,
baseline,liquidity_pair_ln_hh_loans_ea_stock,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock",0,constant,2,0,15.547966406527506,15.4943,True,14.678413155719268,14.2639,True,1,1,
baseline,liquidity_pair_ln_hh_loans_ea_stock,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock",0,constant,2,1,0.8695532508082386,3.8415,False,0.8695532508082386,3.8415,False,1,1,
baseline,liquidity_pair_ln_hh_loans_ea_stock,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock",1,linear_trend,1,0,12.772285712371815,18.3985,False,10.636635082913482,17.1481,False,0,0,
baseline,liquidity_pair_ln_hh_loans_ea_stock,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock",1,linear_trend,1,1,2.135650629458334,3.8415,False,2.135650629458334,3.8415,False,0,0,
baseline,liquidity_pair_ln_hh_loans_ea_stock,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock",1,linear_trend,2,0,22.538104329591718,18.3985,True,14.259691905979444,17.1481,False,2,0,
baseline,liquidity_pair_ln_hh_loans_ea_stock,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_hh_loans_ea_stock",1,linear_trend,2,1,8.278412423612272,3.8415,True,8.278412423612272,3.8415,True,2,0,
baseline,liquidity_pair_ln_nfc_loans_ea_stock,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_nfc_loans_ea_stock",-1,none,1,0,8.793037429273127,12.3212,False,8.057682553771226,11.2246,False,0,0,
baseline,liquidity_pair_ln_nfc_loans_ea_stock,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_nfc_loans_ea_stock",-1,none,1,1,0.7353548755019016,4.1296,False,0.7353548755019016,4.1296,False,0,0,
baseline,liquidity_pair_ln_nfc_loans_ea_stock,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_nfc_loans_ea_stock",-1,none,2,0,4.258041502467698,12.3212,False,4.212737725175283,11.2246,False,0,0,
baseline,liquidity_pair_ln_nfc_loans_ea_stock,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_nfc_loans_ea_stock",-1,none,2,1,0.04530377729241517,4.1296,False,0.04530377729241517,4.1296,False,0,0,
baseline,liquidity_pair_ln_nfc_loans_ea_stock,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_nfc_loans_ea_stock",0,constant,1,0,8.963512234869757,15.4943,False,8.846789781888049,14.2639,False,0,0,
baseline,liquidity_pair_ln_nfc_loans_ea_stock,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_nfc_loans_ea_stock",0,constant,1,1,0.11672245298170844,3.8415,False,0.11672245298170844,3.8415,False,0,0,
baseline,liquidity_pair_ln_nfc_loans_ea_stock,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_nfc_loans_ea_stock",0,constant,2,0,10.91588541449575,15.4943,False,10.915135703357404,14.2639,False,0,0,
baseline,liquidity_pair_ln_nfc_loans_ea_stock,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_nfc_loans_ea_stock",0,constant,2,1,0.0007497111383451188,3.8415,False,0.0007497111383451188,3.8415,False,0,0,
baseline,liquidity_pair_ln_nfc_loans_ea_stock,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_nfc_loans_ea_stock",1,linear_trend,1,0,11.847212536577329,18.3985,False,8.518496962471426,17.1481,False,0,0,
baseline,liquidity_pair_ln_nfc_loans_ea_stock,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_nfc_loans_ea_stock",1,linear_trend,1,1,3.328715574105903,3.8415,False,3.328715574105903,3.8415,False,0,0,
baseline,liquidity_pair_ln_nfc_loans_ea_stock,70,2005-03-31,2022-06-30,"ln_ecb_assets_ea_stock,ln_nfc_loans_ea_stock",1,linear_trend,2,0,21.354710152921793,18.3985,True,14.90860677600094,17.1481,False,2,0,
