quarter,event_count,date,regime,identification_regime,timing_factor_market_magnitude_weighted_quarterly_sum,timing_factor_crisis_weighted_quarterly_sum,timing_factor_qe_event_weighted_quarterly_sum,target_factor_market_magnitude_weighted_quarterly_sum,target_factor_crisis_weighted_quarterly_sum,target_factor_qe_event_weighted_quarterly_sum,fg_factor_market_magnitude_weighted_quarterly_sum,fg_factor_crisis_weighted_quarterly_sum,fg_factor_qe_event_weighted_quarterly_sum,qe_factor_market_magnitude_weighted_quarterly_sum,qe_factor_crisis_weighted_quarterly_sum,qe_factor_qe_event_weighted_quarterly_sum
2023Q1,2,2023-03-31,tightening_regime,tightening,-1.6293858594075887,-2.948226184154268,-3.6487977296780745,370.73816669605424,32.53703637597638,41.93684502212879,31.998698754275974,9.965288794804538,13.215208968073487,0.557763686870216,0.4888190775162835,0.8836430718810719
2023Q2,2,2023-06-30,tightening_regime,tightening,0.19363903704952015,0.6100958619856922,1.6861949893561006,-20.62211224229048,-7.9056611743366325,-6.677371504491727,-4.502228675833255,-4.780751157326313,-11.634809121168544,-14.00234729596087,-7.5548560171918036,-19.03891797408874
2023Q3,2,2023-09-30,tightening_regime,tightening,-0.36906021442669756,-0.5620989309221246,-0.8440022302887682,42.424869336909495,10.322989183580523,6.733137056954024,-0.7591693108867237,-2.768127687738626,-2.4361885574527067,-0.7399018908107678,-1.8135796041780412,-1.9489549602627954
2023Q4,2,2023-12-31,tightening_regime,tightening,2.211186541788228,3.177917705314467,2.749894440504643,-1.3973561517472202,-2.0123322480796078,-2.238285964344438,-4.053302486978933,-3.620382338315763,-4.447310392907785,-0.975786183053124,-2.4547332289336983,-2.612275002342256
2024Q1,2,2024-03-31,tightening_regime,tightening,1.597345864219557,1.9385211440091983,2.969735513305506,-0.11552473046262374,-0.3448859334601455,-0.01269066693268589,-15.390149827266756,-6.128508045790969,-1.5862288546697245,2.9525284694479206,3.5566625176508313,5.3236368145484745
2024Q2,2,2024-06-30,tightening_regime,tightening,0.09334208037065186,0.6941453363506458,0.7766419824184427,-0.19315528907462579,-0.8632535555800325,-0.7292649912282225,-0.8443476984799161,-2.4481728015148843,-3.1232665492060705,2.3718970499219925,3.501837879121837,4.706455636003217
2024Q3,2,2024-09-30,tightening_regime,tightening,3.477309829299277,3.479073150736536,4.291658919098057,-0.1424866465964916,-0.7301770226957746,-0.8997672874435456,-0.8832465107876004,-2.4927829722044432,-2.999974595860675,0.21356477742740676,0.19375884525324727,0.34273734092957175
2024Q4,2,2024-12-31,tightening_regime,tightening,-1.9657294992151928,-1.5681912026356657,-1.4450174208368063,0.25584303034244804,0.2244169063355752,0.7179022939798871,8.58370528328814,4.047589371649023,6.502792732441854,2.9954842760043023,5.018374325297287,6.341067159535829
2025Q1,2,2025-03-31,tightening_regime,tightening,-0.7551271576333922,-1.9504476334001597,-1.9769257139889898,-0.3482998657384882,-1.3555536429247732,-1.3550904376440827,4.977866696829942,2.5090058946098672,4.225524140796505,1.1108426052441576,2.7190809169607237,2.923563216551307
2025Q2,2,2025-06-30,tightening_regime,tightening,0.036106687830439244,0.02989199472744164,1.4071393031830333,-6.681797694703418,-5.308624203568314,-9.494141972823078,1.848279167452283,0.6205619237855036,7.330186982458843,8.794541325639232,8.029378642964957,14.147460420949203
2025Q3,2,2025-09-30,tightening_regime,tightening,-0.6498328597197172,-0.42710878923281714,0.04876268788406701,-0.13840572960550046,-0.7784416631090474,-0.8017782529273166,6.708818228568855,7.567347402785892,8.675662138060323,-0.9667778461198274,-1.1368612412471988,-1.7246853402846265
2025Q4,1,2025-12-31,tightening_regime,tightening,0.34749795988523036,0.9627728846011179,1.150401399318936,-0.1130289257362092,-0.5534030184311596,-0.6612521156059464,-0.3834799468984249,-1.3926550925919488,-1.664060541079929,-1.2495773680947064,-2.3656524642836922,-2.8266790109505013
