quarter,date,regime,identification_regime,monthly_event_count,missing_months_in_quarter,timing_factor_monthly_sum,timing_factor_monthly_mean,timing_factor_monthly_abs_sum,target_factor_monthly_sum,target_factor_monthly_mean,target_factor_monthly_abs_sum,fg_factor_monthly_sum,fg_factor_monthly_mean,fg_factor_monthly_abs_sum,qe_factor_monthly_sum,qe_factor_monthly_mean,qe_factor_monthly_abs_sum,weighted_composite_monthly_sum,weighted_composite_monthly_mean,weighted_composite_monthly_abs_sum
2015Q2,2015-06-30,qe_era,qe_era,2,1,0.7459984929350686,0.3729992464675343,1.1234214474671749,0.05468558636930421,0.027342793184652103,1.3769729894196279,-0.6041964533198825,-0.30209822665994124,3.792779046207287,6.2032686747340975,3.1016343373670487,8.908979978724224,0.6281722849373418,0.3140861424686709,0.6281722849373418
2015Q3,2015-09-30,qe_era,qe_era,2,1,0.5949368946049126,0.2974684473024563,0.5949368946049126,-0.6881017310766988,-0.3440508655383494,0.6881017310766988,-1.0408071667850902,-0.5204035833925451,1.0408071667850902,0.20832594208143074,0.10416297104071537,3.716320030278535,-0.04336368190074197,-0.021681840950370984,0.35973985029778316
2015Q4,2015-12-31,qe_era,qe_era,2,1,0.45812992340105296,0.22906496170052648,2.719190389981961,4.6051020798052065,2.3025510399026032,5.18623821237072,0.893478263755342,0.446739131877671,4.159987756935725,4.46974998264537,2.234874991322685,9.937265407974477,0.9651652557303855,0.48258262786519274,2.0258611130503734
2016Q1,2016-03-31,qe_era,qe_era,2,1,-1.9485500584721978,-0.9742750292360989,1.9485500584721978,1.9019123548250847,0.9509561774125423,1.9019123548250847,2.9362937897381665,1.4681468948690832,6.566784985808398,-2.7226581600134265,-1.3613290800067133,2.7226581600134265,-0.10875263889873737,-0.05437631944936869,0.8321349237282729
2016Q2,2016-06-30,qe_era,qe_era,2,1,-0.23505927519614261,-0.11752963759807131,0.8809082285675054,-0.738423265765475,-0.3692116328827375,0.738423265765475,1.661510306225075,0.8307551531125374,2.108392433704257,-1.8176090924004895,-0.9088045462002448,3.9187899259536505,-0.15135711878619984,-0.07567855939309992,0.32863467932218354
2016Q3,2016-09-30,qe_era,qe_era,2,1,3.4810491874820553,1.7405245937410276,3.4810491874820553,0.30473762040208463,0.15236881020104232,0.30473762040208463,-3.480185169072594,-1.740092584536297,4.536667327999383,1.325272090503113,0.6626360452515565,1.325272090503113,0.34054954517585945,0.17027477258792972,0.34054954517585945
2016Q4,2016-12-31,qe_era,qe_era,2,1,0.2695258556448215,0.13476292782241076,0.6104175506552008,-0.1229172428343282,-0.0614586214171641,0.4612188258952952,0.8487075734055508,0.4243537867027754,0.8487075734055508,-2.5814920663793215,-1.2907460331896607,2.5814920663793215,-0.15753274111288582,-0.07876637055644291,0.25362057419396666
2017Q1,2017-03-31,qe_era,qe_era,2,1,-0.9512501864078213,-0.47562509320391066,0.9699678280904707,-0.8497538895561445,-0.42487694477807225,0.8497538895561445,2.738720910410708,1.369360455205354,2.738720910410708,4.665242875480073,2.3326214377400367,4.665242875480073,0.4219764796695717,0.21098823983478585,0.45083770540728435
2017Q2,2017-06-30,qe_era,qe_era,2,1,0.4086460469863388,0.2043230234931694,0.4086460469863388,-0.461488745873925,-0.2307443729369625,0.461488745873925,-0.19469373115650412,-0.09734686557825206,0.4422555083745021,-2.4510639851354528,-1.2255319925677264,2.4510639851354528,-0.23202287130841537,-0.11601143565420768,0.23202287130841537
2017Q3,2017-09-30,qe_era,qe_era,2,1,0.30669565958168454,0.15334782979084227,0.733051823337235,-1.3579954043085087,-0.6789977021542544,1.3579954043085087,-0.6131403504023405,-0.30657017520117025,0.8077485441371064,-0.5709391268195311,-0.28546956340976554,1.6007997251748476,-0.18449835555192007,-0.09224917777596003,0.18449835555192007
2017Q4,2017-12-31,qe_era,qe_era,2,1,-0.4972653212984437,-0.24863266064922185,0.4972653212984437,0.05280195122381065,0.026400975611905325,0.969554087341574,0.7475507429124789,0.37377537145623946,0.7475507429124789,0.8665779216533731,0.43328896082668655,1.0582061751856886,0.07583874936459456,0.03791937468229728,0.17833615980791645
2018Q1,2018-03-31,qe_era,qe_era,2,1,0.1085480704653908,0.0542740352326954,0.2339824541515618,-0.4740937678688302,-0.2370468839344151,0.4740937678688302,0.12460915694166297,0.062304578470831484,0.4743698497067852,2.0566011521347125,1.0283005760673563,9.195351599445537,0.16755161588654138,0.08377580794327069,0.7560536243998404
2018Q2,2018-06-30,qe_era,qe_era,2,1,1.1132098170232034,0.5566049085116017,1.1132098170232034,-1.7389359043021024,-0.8694679521510512,1.7389359043021024,-1.620805873013662,-0.810402936506831,1.620805873013662,0.5800672486668034,0.2900336243334017,0.5800672486668034,-0.08436718544542937,-0.042183592722714686,0.13830180660526809
2018Q3,2018-09-30,qe_era,qe_era,2,1,-0.0922285573845411,-0.04611427869227055,0.19795338752251168,-0.3956742289690698,-0.1978371144845349,0.3956742289690698,-0.1557356293720061,-0.07786781468600305,0.5974772827473929,-0.08026004068332848,-0.04013002034166424,2.415620377912635,-0.06605985064476315,-0.033029925322381574,0.16489626837578292
2018Q4,2018-12-31,qe_era,qe_era,2,1,0.3839892129016777,0.19199460645083885,0.5023644043060699,-0.5974212783011621,-0.29871063915058105,1.1820847025436914,-0.3955317116096952,-0.1977658558048476,0.6887291368884207,-2.686802666924457,-1.3434013334622286,2.686802666924457,-0.2834174447919832,-0.1417087223959916,0.2834174447919832
2019Q1,2019-03-31,qe_era,qe_era,2,1,-0.29872412194605846,-0.14936206097302923,0.9259431920337878,-0.7844131794808034,-0.3922065897404017,0.7844131794808034,1.0752016598865408,0.5376008299432704,1.6991268681208034,-3.977511770708725,-1.9887558853543625,3.977511770708725,-0.40299519131857775,-0.20149759565928888,0.40299519131857775
2019Q2,2019-06-30,qe_era,qe_era,2,1,0.3670483926639803,0.18352419633199016,1.130458769123276,0.3878811443637694,0.1939405721818847,0.3878811443637694,-0.5206963333599215,-0.26034816667996075,0.5206963333599215,-2.306875314976679,-1.1534376574883396,4.078040676642603,-0.16608587384842344,-0.08304293692421172,0.4963780597714731
2019Q3,2019-09-30,qe_era,qe_era,2,1,1.7369964873791428,0.8684982436895714,1.7369964873791428,5.125591691115485,2.5627958455577424,5.125591691115485,3.671590442118014,1.835795221059007,3.671590442118014,11.378635631064379,5.689317815532189,11.378635631064379,1.9994945472320274,0.9997472736160137,1.9994945472320274
2019Q4,2019-12-31,qe_era,qe_era,2,1,0.5396331249383983,0.26981656246919916,0.5396331249383983,-0.8932325393242044,-0.4466162696621022,0.8932325393242044,-0.1720531974630335,-0.08602659873151675,1.318871209571046,2.461495929967369,1.2307479649836846,3.655269446314752,0.19795741455698498,0.09897870727849249,0.30162460663300394
2020Q1,2020-03-31,covid,covid,2,1,0.010947961998889477,0.005473980999444739,2.5746675994137886,10.95088655060512,5.47544327530256,11.30538135369401,0.7804936418397155,0.39024682091985774,3.7654180803793675,-6.204837590025958,-3.102418795012979,6.204837590025958,0.5167527912117802,0.2583763956058901,0.7775456826730047
