event_id,event_date,event_quarter,regime,target_factor,timing_factor,ois_1m_mew,ois_6m_mew,stoxx50_mew,rate_factor_for_screen,yield_response_for_screen,equity_response_for_screen,ois_movement,equity_window_response,rate_factor_sign,yield_response_sign,equity_response_sign,information_effect_screen,contamination_classification,contamination_flag,monthly_identification_window
ECB_20170720,2017-07-20,2017Q3,qe_era,-0.6766266990790301,-0.2131780818777752,-1.819998025894165,-0.7649987936019897,0.0560513035871679,-0.6766266990790301,-0.7649987936019897,0.0560513035871679,-0.7649987936019897,0.0560513035871679,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20170907,2017-09-07,2017Q3,qe_era,-0.6813687052294787,0.5198737414594597,0.0,-0.2000004053115845,0.0566490534406938,-0.6813687052294787,-0.2000004053115845,0.0566490534406938,-0.2000004053115845,0.0566490534406938,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20180614,2018-06-14,2018Q2,qe_era,-1.3738234866240369,0.5705709790241871,-0.580000877380371,-0.6050020456314086,1.240829426567025,-1.3738234866240369,-0.6050020456314086,1.240829426567025,-0.6050020456314086,1.240829426567025,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20190606,2019-06-06,2019Q2,qe_era,0.2214015738138896,0.7487535808936281,1.229998469352722,1.549997925758362,-0.5902570253255135,0.2214015738138896,1.549997925758362,-0.5902570253255135,1.549997925758362,-0.5902570253255135,positive,positive,negative,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20190725,2019-07-25,2019Q3,qe_era,2.800936066477867,1.0802895865441595,4.140002,2.19,-0.73933,2.800936066477867,2.19,-0.73933,2.19,-0.73933,positive,positive,negative,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20200312,2020-03-12,2020Q1,covid,11.128133952149565,-1.2818598187074497,10.569998621940607,8.605003356933594,-3.9846747071505826,11.128133952149565,8.605003356933594,-3.9846747071505826,8.605003356933594,-3.9846747071505826,positive,positive,negative,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20200430,2020-04-30,2020Q2,covid,1.518322954500687,0.4191184147917708,1.644998788833618,1.150000095367432,-1.1385433664615967,1.518322954500687,1.150000095367432,-1.1385433664615967,1.150000095367432,-1.1385433664615967,positive,positive,negative,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20200716,2020-07-16,2020Q3,covid,-0.5498373398977996,0.0829680741339703,-0.3149986267089843,-0.3300011157989502,0.2682750731960226,-0.5498373398977996,-0.3300011157989502,0.2682750731960226,-0.3300011157989502,0.2682750731960226,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20201029,2020-10-29,2020Q4,covid,-0.4603667633243651,-0.1255586909820803,0.0,-0.9000003337860107,1.293737727494548,-0.4603667633243651,-0.9000003337860107,1.293737727494548,-0.9000003337860107,1.293737727494548,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20201210,2020-12-10,2020Q4,covid,0.8545957325091036,0.1017974555223057,0.905001163482666,1.309999823570251,-0.6932292819939789,0.8545957325091036,1.309999823570251,-0.6932292819939789,1.309999823570251,-0.6932292819939789,positive,positive,negative,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20210610,2021-06-10,2021Q2,covid,-0.2353257824339896,-1.0823511846791272,0.0550001859664917,-0.129997730255127,0.4746552055774345,-0.2353257824339896,-0.129997730255127,0.4746552055774345,-0.129997730255127,0.4746552055774345,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20210909,2021-09-09,2021Q3,covid,-0.3799173044315324,0.5729488583057022,-0.0950008630752563,-0.0300019979476928,0.465143772255594,-0.3799173044315324,-0.0300019979476928,0.465143772255594,-0.0300019979476928,0.465143772255594,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20220414,2022-04-14,2022Q2,covid,-0.5533271804435704,-0.6965202106914667,-0.4999995231628418,-3.899997472763062,0.2368300097812081,-0.5533271804435704,-3.899997472763062,0.2368300097812081,-3.899997472763062,0.2368300097812081,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20220908,2022-09-08,2022Q3,tightening_regime,6.364656752131255,2.6867681968598744,6.415003538131714,10.19999980926514,-0.2238043589372296,6.364656752131255,10.19999980926514,-0.2238043589372296,10.19999980926514,-0.2238043589372296,positive,positive,negative,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20230504,2023-05-04,2023Q2,tightening_regime,-4.974566264316049,-0.0788425182074396,-4.449987411499023,-6.369996070861816,0.506972788081228,-4.974566264316049,-6.369996070861816,0.506972788081228,-6.369996070861816,0.506972788081228,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20230727,2023-07-27,2023Q3,tightening_regime,-0.2708263929882737,-0.7711590064534531,-0.0900030136108398,-2.09500789642334,0.5779066195332305,-0.2708263929882737,-2.09500789642334,0.5779066195332305,-2.09500789642334,0.5779066195332305,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20231026,2023-10-26,2023Q4,tightening_regime,-1.2964207953174287,0.6250408573600751,-0.7250070571899414,-1.459980010986328,0.472046352170885,-1.2964207953174287,-1.459980010986328,0.472046352170885,-1.459980010986328,0.472046352170885,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20240125,2024-01-25,2024Q1,tightening_regime,-0.4174942260947181,-0.0864864952492908,-0.0949859619140625,-4.134988784790039,0.7310656612515471,-0.4174942260947181,-4.134988784790039,0.7310656612515471,-4.134988784790039,0.7310656612515471,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20240718,2024-07-18,2024Q3,tightening_regime,-0.0804389446844049,0.313318786438203,0.2150297164916991,-0.4799842834472656,0.107337736831363,-0.0804389446844049,-0.4799842834472656,0.107337736831363,-0.4799842834472656,0.107337736831363,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20241017,2024-10-17,2024Q4,tightening_regime,-0.9548457585158988,-1.6372787903347277,-0.690007209777832,-3.499984741210938,0.1332016810589435,-0.9548457585158988,-3.499984741210938,0.1332016810589435,-3.499984741210938,0.1332016810589435,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20250130,2025-01-30,2025Q1,tightening_regime,-0.3773678484257093,-0.4922906054173506,0.0,-1.799988746643066,0.0115749391483512,-0.3773678484257093,-1.799988746643066,0.0115749391483512,-1.799988746643066,0.0115749391483512,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20250417,2025-04-17,2025Q2,tightening_regime,-0.8251116141352567,-1.0640425789156829,-0.6999969482421875,-5.699992179870605,0.1266447536063889,-0.8251116141352567,-5.699992179870605,0.1266447536063889,-5.699992179870605,0.1266447536063889,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20250911,2025-09-11,2025Q3,tightening_regime,-0.3859965340053088,-1.4951812831924292,-0.5000114440917968,-1.150000095367432,0.2722034837643795,-0.3859965340053088,-1.150000095367432,0.2722034837643795,-1.150000095367432,0.2722034837643795,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
ECB_20251030,2025-10-30,2025Q4,tightening_regime,-0.368935345620773,0.6418485897340785,0.0,-0.0499963760375976,0.3531982758976264,-0.368935345620773,-0.0499963760375976,0.3531982758976264,-0.0499963760375976,0.3531982758976264,negative,negative,positive,possible_pure_monetary_shock,possible_pure_monetary_shock,False,True
