dimension,response,horizon,value,sign,control_lags,regime
regime_interactions,ln_hh_loans_ea_stock,8,-4.7092935956586454e-08,negative,,qe
regime_interactions,ln_hh_loans_ea_stock,12,-7.129808073877743e-08,negative,,qe
regime_interactions,ln_hh_loans_ea_stock,0,-1.4574777723148992e-07,negative,,tightening
regime_interactions,ln_hh_loans_ea_stock,1,-9.89303126011681e-08,negative,,tightening
regime_interactions,ln_hh_loans_ea_stock,2,7.0856262943992775e-15,positive,,tightening
regime_interactions,ln_hh_loans_ea_stock,4,1.8908040622458956e-14,positive,,tightening
regime_interactions,ln_hh_loans_ea_stock,8,7.877561609354282e-14,positive,,tightening
regime_interactions,ln_hh_loans_ea_stock,12,-3.323421532046992e-13,negative,,tightening
regime_interactions,ln_house_price_de_real,0,2.0526627620885496e-08,positive,,covid
regime_interactions,ln_house_price_de_real,1,6.357587887398464e-08,positive,,covid
regime_interactions,ln_house_price_de_real,2,4.346778197608524e-08,positive,,covid
regime_interactions,ln_house_price_de_real,4,2.9749863246302716e-08,positive,,covid
regime_interactions,ln_house_price_de_real,8,-6.09397064619152e-08,negative,,covid
regime_interactions,ln_house_price_de_real,12,6.120317863230082e-14,positive,,covid
regime_interactions,ln_house_price_de_real,0,3.0998379534396225e-08,positive,,pre_qe
regime_interactions,ln_house_price_de_real,1,5.3075409368911137e-08,positive,,pre_qe
regime_interactions,ln_house_price_de_real,2,6.101348495966661e-08,positive,,pre_qe
regime_interactions,ln_house_price_de_real,4,6.33294991988231e-08,positive,,pre_qe
regime_interactions,ln_house_price_de_real,8,2.4385798695532703e-08,positive,,pre_qe
regime_interactions,ln_house_price_de_real,12,2.2295557799611855e-08,positive,,pre_qe
regime_interactions,ln_house_price_de_real,0,1.4991995449988845e-08,positive,,qe
regime_interactions,ln_house_price_de_real,1,2.9664956777534913e-08,positive,,qe
regime_interactions,ln_house_price_de_real,2,6.514994172538993e-08,positive,,qe
regime_interactions,ln_house_price_de_real,4,3.492682969407497e-08,positive,,qe
regime_interactions,ln_house_price_de_real,8,8.147948682333737e-08,positive,,qe
regime_interactions,ln_house_price_de_real,12,1.0952962692828073e-07,positive,,qe
regime_interactions,ln_house_price_de_real,0,-5.7283243988834586e-08,negative,,tightening
regime_interactions,ln_house_price_de_real,1,-1.368143289236701e-07,negative,,tightening
regime_interactions,ln_house_price_de_real,2,-2.7224321099058762e-15,negative,,tightening
regime_interactions,ln_house_price_de_real,4,-4.2314711233326655e-14,negative,,tightening
