factor,aggregation,architecture,instrument,target_equation,sample,regime,regime_start,regime_end,F_stat,partial_R2,coef,sign,full_sample_sign,sign_stability,p_value,observations,instrument_variance,event_count,shock_abs_sum,shock_concentration_share
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_dfr_eop,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,negative,unstable_or_unavailable,,8,0.8395766233852194,16,9.098443614279393,0.03725728482752458
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_dfr_eop,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,0.0018975823812241782,0.00013552322962367126,0.006902457861251904,positive,negative,unstable_or_unavailable,0.9658693514434487,16,0.9689084295527398,31,28.347576960697772,0.11608070498313892
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,0.05278217456560296,0.0015500106362829453,-0.000877198442980133,negative,negative,stable,0.8196675085292299,36,16.309449630243623,112,172.23689515335184,0.7052941505804075
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,0.347041553664893,0.01625712644032926,-0.0031879729867946667,negative,negative,stable,0.5620769611231677,23,2.584721410472081,49,34.522845813310035,0.14136785960892906
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,negative,unstable_or_unavailable,,8,0.8395766233852194,16,9.098443614279393,0.03725728482752458
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_ecb_assets_ea_stock,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,4.994322815354187,0.2629376611056117,0.016171105280464962,positive,negative,unstable_or_unavailable,0.0422466527302115,16,0.9689084295527398,31,28.347576960697772,0.11608070498313892
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,0.2394796543713767,0.006994255075976371,3181.591987327429,positive,negative,unstable_or_unavailable,0.6277246019059307,36,16.309449630243623,112,172.23689515335184,0.7052941505804075
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,qe_era,2014Q2,2019Q4,0.8796884135603953,0.04020571028859762,-14664.999074609184,negative,negative,stable,0.35894981965557726,23,2.584721410472081,49,34.522845813310035,0.14136785960892906
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,covid,2020Q1,2021Q4,,,,,negative,unstable_or_unavailable,,8,0.8395766233852194,16,9.098443614279393,0.03725728482752458
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ecb_assets_ea_qavg,robustness_2005q1_2025q4,tightening,2022Q1,2025Q4,1.2263980154143774,0.08054419792342475,65092.62898315594,positive,negative,unstable_or_unavailable,0.2867733905715632,16,0.9689084295527398,31,28.347576960697772,0.11608070498313892
timing,quarterly_abs_sum,direct_quarterly,timing_factor_quarterly_abs_sum,d_ln_hh_loans_ea_stock,robustness_2005q1_2025q4,pre_qe,2005Q1,2014Q1,0.16471963117606422,0.004821337126553028,-0.00015839028098067314,negative,positive,unstable_or_unavailable,0.6873909081666303,36,16.309449630243623,112,172.23689515335184,0.7052941505804075
