,shadow_rate,ln_credit,ln_real_equity,ln_real_housing,ln_real_income,ln_cpi
2015-09-30,-0.3634052343345257,9.315785713436199,2.8681608795008082,-0.30525323566251705,9.544824920167246,5.470159202386607
2015-10-31,-0.348883699076066,9.321136182619842,2.9732226588296857,-0.3062193743253918,9.546591155507041,5.471148195188653
2015-11-30,0.05576615047470229,9.327972193978136,2.9753959705592163,-0.30689919873516847,9.546341068868582,5.472342099692004
2015-12-31,0.2519807957372916,9.33544153359762,2.961081500263302,-0.3059772627664003,9.551103390014552,5.471265967442488
2016-01-31,0.02647270925943794,9.340873338498215,2.890706925774233,-0.3059585896710915,9.555425411695618,5.4708074187620355
2016-02-29,-0.2555590295918741,9.346871736431961,2.873629576753091,-0.3032119788328862,9.55643049381474,5.469476858635799
2016-03-31,0.16189522144498328,9.354849657430199,2.9355882045163404,-0.2988213939244124,9.556437568276994,5.472606751644727
2016-04-30,0.19570343328325635,9.361224994755244,2.8994990428441203,-0.2919647342437818,9.55436969603143,5.476430078567937
2016-05-31,0.3309396692076829,9.367793925591403,2.938336137815617,-0.28401951494532035,9.553610876491229,5.478791384359091
2016-06-30,-0.011429761597728239,9.37359242777119,2.9118109818523807,-0.27811190781027423,9.554277533726456,5.481563495793126
2016-07-31,0.19908919919365084,9.380873730593823,2.980669437946782,-0.2715625864063639,9.558183429369667,5.481059668149813
2016-08-31,0.35811896035061896,9.384400165866678,2.9874145032144264,-0.26992986284897696,9.559355050858255,5.482907182229998
2016-09-30,0.3258326979920288,9.391223369539802,3.0064920054527495,-0.2709934546124429,9.561637883406258,5.485526957414767
2016-10-31,0.42354643388667346,9.397167890824647,2.9887688401347963,-0.2729583217717976,9.563487099071475,5.487866905098523
2016-11-30,0.5791004806479091,9.399286694803182,2.9895755896884926,-0.2729958905411094,9.566166956159519,5.489045158402165
2016-12-31,0.6226140423505323,9.398599327895871,2.997971796286239,-0.2745839248149691,9.568972399576746,5.491566499307847
2017-01-31,0.6641281703450432,9.40117551636817,3.044677234851542,-0.27724760232385426,9.573155426793472,5.495601424731506
2017-02-28,0.7209191947941479,9.404459852514492,3.083971861664626,-0.27685320642417865,9.576149472204062,5.497192815154803
2017-03-31,0.8861672237324949,9.406297511886986,3.1041155805424836,-0.26825673246435877,9.58026810842579,5.496725504355929
2017-04-30,0.9341159564023679,9.408798350275243,3.129617575608264,-0.2587441852838768,9.582545102123206,5.4979588962370896
