"date","wx_shadow_rate","dfr_eop","dfr_avg","hh_loans_ea_stock","nfc_loans_ea_stock","dax_close","dax_volume","retail_de_mom_pct","retail_de_chained_index","hicp_de","hicp_ea20","hicp_ea","dax_real_de","hh_loans_real_de_hicp","nfc_loans_real_de_hicp"
2007-02-28,3.61907061332283,2.5,2.5,4767635.25,3944537.34,6715.43,5204280984,2.1,101.126715770258,103,102.86,102.81,6519.83495145631,4628772.08737864,3829647.90291262
2007-03-31,3.7235367731878,2.75,2.64516129032258,4809155.73,3981182.02,6917.02,7016554512,-0.1,101.025589054487,103.2,103.55,103.5,6702.53875968992,4660034.62209302,3857734.51550388
2007-04-30,3.75106593350548,2.75,2.75,4828419.29,4019583.64,7408.87,4823642088,2.8,103.854305548013,103.6,104.2,104.15,7151.41891891892,4660636.38030888,3879906.98841699
2007-05-31,3.85003354457642,2.75,2.75,4856531.37,4069201.09,7883.04,6089044096,-4.9,98.7654445761603,103.8,104.45,104.4,7594.45086705202,4678739.27745665,3920232.26396917
2007-06-30,3.91053039134602,3,2.9,4901992.18,4132743.04,8007.31,6876473888,1.2,99.9506299110742,103.9,104.56,104.5,7706.7468719923,4717990.54860443,3977616.01539942
2007-07-31,4.00687489968514,3,3,4932440.28,4195448.54,7584.14,5705140032,0,99.9506299110742,104.4,104.31,104.25,7264.50191570881,4724559.65517241,4018628.8697318
2007-08-31,3.81632364688332,3,3,4949059.42,4212703.53,7638.16,5323494608,0,99.9506299110742,104.3,104.38,104.31,7323.2598274209,4745023.41323106,4039025.43624161
2007-09-30,3.76328087397419,3,3,4976147.7,4257073.8,7861.5,5388431120,0.2,100.150531170896,104.5,104.78,104.71,7522.96650717703,4761863.8277512,4073754.83253588
2007-10-31,3.84775409659433,3,3,4999325.56,4298388.4,8019.22,5853483152,-0.1,100.050380639725,104.7,105.31,105.22,7659.2359121299,4774905.02387775,4105433.04680038
2007-11-30,3.88379580458297,3,3,5030458.58,4350605.57,7870.52,6649040576,-1.1,98.9498264526885,105.2,105.87,105.78,7481.48288973384,4781804.7338403,4135556.62547529
2007-12-31,3.96453119785585,3,3,5053583.82,4424368.69,8067.31,4224798224,0.2,99.1477261055939,105.9,106.3,106.2,7617.85646836638,4772033.82436261,4177874.1170916
2008-01-31,3.87669997863106,3,3,5080214.99,4495921.91,6851.75,6434261136,1,100.13920336665,105.5,105.93,105.8,6494.54976303318,4815369.65876777,4261537.35545024
2008-02-29,4.05311197529187,3,3,5097437.57,4532774.82,6748.13,3512761096,1,101.140595400316,106.1,106.3,106.17,6360.1602262017,4804370.94250707,4272172.30914232
2008-03-31,4.01220599739048,3,3,5117563.02,4582507.68,6534.97,3648856072,-1.9,99.2189240877103,106.6,107.34,107.21,6130.36585365854,4800715.77861163,4298787.69230769
2008-04-30,4.02455273935529,3,3,5135111.47,4629442.5,6948.82,3061669920,0.2,99.4173619358857,106.3,107.7,107.56,6536.9896519285,4830772.78457197,4355072.90686736
2008-05-31,4.04668925405486,3,3,5152400.91,4657651.22,7096.79,2702019748,-0.2,99.2185272120139,107,108.37,108.23,6632.51401869159,4815327.95327103,4352945.06542056
2008-06-30,4.15917008925837,3,3,5189519.1,4708682.14,6418.32,3107071976,-0.6,98.6232160487418,107.4,108.79,108.64,5976.08938547486,4831954.46927374,4384247.80260708
2008-07-31,4.24913249771704,3.25,3.18548387096774,5207069.85,4747308.15,6479.56,3931671936,0,98.6232160487418,108.1,108.64,108.48,5994.04255319149,4816900.87881591,4391589.4079556
