response,regime,horizon,beta,HAC_se,t_stat,p_value,CI_low,CI_high,CI_68_low,CI_68_high,F_stat,partial_R2,weak_iv_flag,nobs
ln_hh_loans_ea_stock,qe,8,-4.709300598445249e-08,4.077117266347038e-08,-1.1550564506241505,0.24806731035419724,-1.1415561721502644e-07,1.996960524612146e-08,-8.763822004734661e-08,-6.5477919215583765e-09,0.9534796233749145,0.023282017355875647,weak_iv_risk,59
ln_hh_loans_ea_stock,qe,12,-7.129807736067165e-08,6.471967232338801e-08,-1.1016445974017453,0.27061621172345546,-1.7775246511690718e-07,3.5156310395563884e-08,-1.3565906570141695e-07,-6.937089019926367e-09,0.00217814739966557,6.0500433911187986e-05,weak_iv_risk,55
ln_hh_loans_ea_stock,tightening,0,-1.4574779877539063e-07,2.221652596692808e-08,-6.560332564702215,5.3687907039309514e-11,-1.8229073209035383e-07,-1.0920486546042743e-07,-1.6784119816073644e-07,-1.2365439939004482e-07,1.463676483833765,0.02959093597323157,weak_iv_risk,67
ln_hh_loans_ea_stock,tightening,1,-9.893031139200782e-08,2.2383412184295286e-08,-4.419804745472167,9.879011940429405e-06,-1.3574774810689568e-07,-6.211287467711995e-08,-1.2118967209181352e-07,-7.667095069220213e-08,1.4525411404363773,0.02997863695582624,weak_iv_risk,66
ln_hh_loans_ea_stock,tightening,2,-5.713375539999251e-14,2.0980632144823606e-14,-2.723166537862811,0.006465945419136504,-9.164382427914024e-14,-2.262368652084477e-14,-7.79981104311363e-14,-3.6269400368848716e-14,1.4216360097866017,0.02997863695578138,weak_iv_risk,65
ln_hh_loans_ea_stock,tightening,4,-2.858955130424415e-14,1.4260973442905298e-14,-2.0047405192011762,0.044990794348684936,-5.204676519566554e-14,-5.132337412822759e-15,-4.277148876678626e-14,-1.440761384170204e-14,1.1900665335214733,0.026334693104262098,weak_iv_risk,63
ln_hh_loans_ea_stock,tightening,8,3.4304577556554715e-13,1.2686424698272486e-13,2.7040382434324446,0.006850240460595318,1.343726587855449e-13,5.517188923455495e-13,2.1688462505610727e-13,4.692069260749871e-13,0.9534796233749145,0.023282017355875647,weak_iv_risk,59
ln_hh_loans_ea_stock,tightening,12,-2.7190578741965664e-13,2.284882308343621e-13,-1.190020975814589,0.23403814779401763,-6.477354826232822e-13,1.0392390778396889e-13,-4.991277097935378e-13,-4.468386504577544e-14,0.00217814739966557,6.0500433911187986e-05,weak_iv_risk,55
ln_house_price_de_real,covid,0,2.052661698697527e-08,1.1481232429743539e-08,1.7878409058071636,0.07380167917073688,1.641670183038754e-09,3.9411563790911786e-08,9.109014888253338e-09,3.19442190856972e-08,1.463676483833765,0.02959093597323157,weak_iv_risk,67
ln_house_price_de_real,covid,1,6.357587402879355e-08,2.008293518379565e-08,3.1656664450170173,0.0015472811024912902,3.054238525189596e-08,9.660936280569115e-08,4.3604240817277456e-08,8.354750724030965e-08,1.4525411404363773,0.02997863695582624,weak_iv_risk,66
ln_house_price_de_real,covid,2,4.346777790028691e-08,2.5727375441349075e-08,1.6895535263354315,0.09111340335411156,1.15001109364167e-09,8.578554470693215e-08,1.7882986578340316e-08,6.90525692222335e-08,1.4216360097866017,0.02997863695578138,weak_iv_risk,65
ln_house_price_de_real,covid,4,2.9749851376183942e-08,1.2748790136414428e-08,2.333543109413128,0.0196196584992156,8.779957681059524e-09,5.0719745071308364e-08,1.707171652363987e-08,4.2427986228728016e-08,1.1900665335214733,0.026334693104262098,weak_iv_risk,63
ln_house_price_de_real,covid,8,-6.093969679947064e-08,1.0837923498957105e-08,-5.622820349796218,1.878647444627258e-08,-7.876649457535282e-08,-4.3112899023588466e-08,-7.171755526063276e-08,-5.016183833830852e-08,0.9534796233749145,0.023282017355875647,weak_iv_risk,59
ln_house_price_de_real,covid,12,-1.1156747302672481e-13,2.979182665714172e-14,-3.744902060242747,0.00018046416125006666,-1.605706671572339e-13,-6.256427889621572e-14,-1.4119418990113787e-13,-8.194075615231175e-14,0.00217814739966557,6.0500433911187986e-05,weak_iv_risk,55
ln_house_price_de_real,pre_qe,0,3.0998383430174706e-08,3.319937594974023e-08,0.9337037984419481,0.3504567051038332,-2.360973051328096e-08,8.560649737363037e-08,-2.0169977006887553e-09,6.401376456103817e-08,1.463676483833765,0.02959093597323157,weak_iv_risk,67
ln_house_price_de_real,pre_qe,1,5.307541166047087e-08,3.866701778634721e-08,1.3726274923433857,0.16986818062129003,-1.0526172788799405e-08,1.1667699610974114e-07,1.4622691002626142e-08,9.152813231831559e-08,1.4525411404363773,0.02997863695582624,weak_iv_risk,66
ln_house_price_de_real,pre_qe,2,6.10134860184952e-08,4.558479148530976e-08,1.338461448006349,0.1807460595142326,-1.3966823589943124e-08,1.3599379562693352e-07,1.5681330771456068e-08,1.0634564126553433e-07,1.4216360097866017,0.02997863695578138,weak_iv_risk,65
ln_house_price_de_real,pre_qe,4,6.332948847210725e-08,5.228234023212375e-08,1.2112978912370076,0.22578125665894122,-2.2667308484212333e-08,1.4932628542842683e-07,1.1336903075617354e-08,1.1532207386859715e-07,1.1900665335214733,0.026334693104262098,weak_iv_risk,63
